⽾	へん Radical on the left	plow	らいすき		
⽿		ear	みみ		
	へん Radical on the left	ear	みみへん	a variant of ⽿（みみ） 	
⾀		writing brush	ふでづくり		
⾁		flesh, meat	にく		
⾂		retainer, minister	しん		
⾃		self	みずから		
⾄		to arrive, reach	いたる		
	へん Radical on the left	to arrive, reach	いたるへん	a variant of ⾄（いたる）	
⾅		mortar, quern	うす		
⾆		tongue	した		
⾇		contrary, to err	まいあし		
⾈		ship, boat	ふね		
	へん Radical on the left	ship, boat	ふねへん	a variant of ⾈（ふね）	
⾉		boundary	こん		
⾊		color	いろ		
⾋		grass, plant	くさ		
⾌	かんむり Radical on the top	tiger	とらがしら		
⾍		worm, insect, bug	むし		
	へん Radical on the left	worm, insect, bug	むしへん	a variant of ⾍（むし）	Important
⾎		blood	ち		
⾏	ぎょうがまえ Radical which encloses the kanji	to go	ぎょうがまえ		Important
⾐		clothing	ころも		
⾑		cover, west	にし		
⻃		cover, west	にし	a variant of ⾑（にし）	
⽠		melon	うり	a variant of ⽠（うり）	
⾒		to see	みる		
⾓		horn, corner	つの		
	へん Radical on the left	horn, corner	つのへん	a variant of ⾓（つの）	
⾔		words, to speak, say	げん		
	へん Radical on the left	words, to speak, say	ごんべん	a variant of ⾔（げん）	Important
⾕		valley	たに		
	へん Radical on the left	valley	たにへん	a variant of ⾕（たに）	
⾖		bean	まめ		
	へん Radical on the left	bean	まめへん	a variant of ⾖（まめ）	
⾗		pig	いのこ		
⾘	へん Radical on the left	badger	むじなへん		
⾙		shell, property, wealth	かい		
	へん Radical on the left	shell, property, wealth	かいへん	a variant of ⾙（かい）	Important
⾚		red	あか		
⾛		to run	はしる		
	にょう Radical which wraps around the bottom	to run	そうにょう	a variant of ⾛（はしる）	Important
⾜		foot, leg	あし		
⻊	へん Radical on the left	foot, leg	あしへん	a variant of ⾜（あし）	Important
⾝		body	み		
	へん Radical on the left	body	みへん	a variant of ⾝（み）	
⾞		vehicle, wheel, car	くるま		
	へん Radical on the left	vehicle, wheel, car	くるまへん	a variant of ⾞（くるま）	Important
⾟		bitter	からい		
⾠		Fifth zodiac sign, 7–9 A.M.	しんのたつ		
⾡		to advance, move ahead	しんにょう		
⾢		community	むら		
⾣		sake jar, bird	ひよみのとり		
	へん Radical on the left	sake jar, bird	とりへん	a variant of ⾣（ひよみのとり）	
⾤		to separate	のごめ		
	へん Radical on the left	to separate	のごめへん	a variant of ⾤（のごめ）	
⾥		village, (3.93 km)	さと		
	へん Radical on the left	village, (3.93 km)	さとへん	a variant of ⾥（さと）	
⾂		retainer, minister	しん	a variant of ⾂（しん）	
		contrary, to err	まいあし	a variant of ⾇（まいあし）	
⻨		wheat	むぎ	a variant of ⿆（むぎ）	
⾦		metal, gold, mineral	かね		
	へん Radical on the left	metal, gold, mineral	かねへん	a variant of ⾦（かね）	Important
⻑		long	ながい		
⾨	もんがまえ Radical which encloses the kanji	gate, door	もんがまえ		Important
⾩		hill	こざと		
⾪	つくり Radical on the right	to capture	れいづくり		
⾫		small bird	ふるとり		
⾬		rain	あめ		
⻗	かんむり Radical on the top	rain	あめかんむり	a variant of ⾬（あめ）	Important
⾭		blue, green	あお		
⻘		blue, green	あお	a variant of ⾭（あお）	
⾮		wrong, non-	あらず		
⻟	へん Radical on the left	food, to eat	しょくへん	a variant of ⾷（しょく）	
⻫		alike	せい	a variant of ⿑（せい）	
⾯		face, surface	めん		
⾰		leather	つくりがわ		
		leather	なめしがわ		
⾲		leek	にら		
⾳		sound, noise	おと		
⾴	つくり Radical on the right	head, page	おおがい		Important
⾵		wind	かぜ		
⾶		to fly	とぶ		
⾷		food, to eat	しょく		
⾸		head	くび		
⾹		scent	かおり		
⾺		horse	うま		
	へん Radical on the left	horse	うまへん	a variant of ⾺（うま）	
⾻		bone	ほね		
